iter	Logloss
0	0.3555339841
1	0.2163644446
2	0.1092919434
3	0.05922232667
4	0.03433336159
5	0.02091319171
6	0.01350437503
7	0.009021073272
8	0.006060966304
9	0.004243678785
10	0.003090060395
11	0.002394320464
12	0.001863547724113	0.001460335261114	0.001212258436
15	0.0009962978599
16	0.000835937721
17	0.0007129101788
18	0.0006170354887
19	0.0005416525704
20	0.0004801639218
21	0.0004303272022
22	0.0003892007057
23	0.0003539895084
24	0.0003240273224
25	0.0002964396706
26	0.0002964201269
27	0.0002964201269
28	0.000296409956
29	0.0002964015543
30	0.0002963864829
31	0.0002963864829
32	0.0002963842789
33	0.0002963842789
34	0.0002963842789
35	0.0002963842789
36	0.0002963727804
37	0.0002963636772
38	0.0002963636772
39	0.0002963718608
40	0.0002963718608
41	0.0002963718608
42	0.0002963488527
43	0.0002963235962
44	0.0002963235962
45	0.0002963105568
46	0.0002963220484
47	0.0002741058816
48	0.0002741058816
49	0.000274077722
50	0.0002740692439
51	0.0002740692439
52	0.0002740756853
53	0.0002740657453
54	0.0002740545071
55	0.0002740432247
56	0.0002740432247
57	0.0002740357225
58	0.0002740357225
59	0.0002740357225
60	0.0002740357225
61	0.0002740367009
62	0.0002740367009
63	0.0002740390751
64	0.0002740390751
65	0.000274021987
66	0.0002740235784
67	0.0002740052811
68	0.0002740052811
69	0.0002740022154
70	0.0002739842102
71	0.0002739830734
72	0.0002739830734
73	0.0002739830734
74	0.0002739830734
75	0.0002739689314
76	0.0002739581875
77	0.0002739581875
78	0.0002739484737
79	0.000273953525
80	0.000273953525
81	0.0002739384736
82	0.0002739377867
83	0.0002739295496
84	0.0002739148928
85	0.0002739148928
86	0.0002739148928
87	0.0002739143014
88	0.0002739143014
89	0.0002739143014
90	0.0002739143014
91	0.0002739143014
92	0.0002739113387
93	0.0002738991304
94	0.0002738991304
95	0.0002738991304
96	0.0002738917173
97	0.0002738829546
98	0.000273880297
99	0.000273880297
4
6
